FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
,,"Bennington County, VT",US,2020-03-09T08:53:03,43.0279,-73.135,1,0,0,,
,,"Berkshire County, MA",US,2020-03-08T00:43:03,42.3118,-73.1822,1,0,0,,
,,"Carver County, MN",US,2020-03-09T08:43:02,44.8254,-93.7842,1,0,0,,
,,"Charleston County, SC",US,2020-03-07T01:53:03,32.7957,-79.7848,1,0,0,,
,,"Charlotte County, FL",US,2020-03-09T08:53:03,26.8946,-81.9098,1,0,0,,
,,"Chatham County, NC",US,2020-03-06T16:13:15,35.7211,-79.1781,1,0,0,,
,,"Cherokee County, GA",US,2020-03-09T03:53:03,34.2515,-84.4803,1,0,0,,
,,"Clark County, WA",US,2020-03-07T20:03:07,45.7466,-122.5194,1,0,0,,
,,"Collin County, TX",US,2020-03-09T18:53:13,33.1795,-96.493,1,0,0,,
,,"Davidson County, TN",US,2020-03-08T18:03:06,36.1343,-86.822,1,0,0,,
,,"Davis County, UT",US,2020-03-07T04:43:02,40.9629,-112.0953,1,0,0,,
,,"Delaware County, PA",US,2020-03-06T15:33:03,39.9078,-75.3879,1,0,0,,
,,"Douglas County, OR",US,2020-03-08T19:53:03,43.1261,-123.2492,1,0,0,,
,,"El Paso County, CO",US,2020-03-07T01:13:21,38.9108,-104.4723,1,0,0,,
,,"Fairfield County, CT",US,2020-03-08T21:23:03,41.256,-73.3709,1,0,0,,
,,"Fayette County, KY",US,2020-03-06T23:23:03,38.0606,-84.4803,1,0,0,,
,,"Fresno County, CA",US,2020-03-08T04:23:15,36.9859,-119.2321,1,0,0,,
,,"Grant County, WA",US,2020-03-09T08:43:03,47.1981,-119.3732,1,1,0,,
,,"Harford County, MD",US,2020-03-08T21:53:03,39.5839,-76.3637,1,0,0,,
,,"Hudson County, NJ",US,2020-03-08T19:43:03,40.7453,-74.0535,1,0,0,,
,,"Humboldt County, CA",US,2020-02-21T05:13:09,40.745,-123.8695,1,0,0,,
,,"Jefferson County, KY",US,2020-03-09T00:23:10,38.1938,-85.6435,1,0,0,,
,,"Jefferson County, WA",US,2020-03-07T16:43:02,47.7425,-123.304,1,0,0,,
,,"Jefferson Parish, LA",US,2020-03-09T18:53:13,29.6499,-90.1121,1,0,0,,
,,"Johnson County, KS",US,2020-03-08T00:33:02,38.8454,-94.8521,1,0,0,,
,,"Kittitas County, WA",US,2020-03-08T00:43:03,47.175,-120.9319,1,0,0,,
,,"Klamath County, OR",US,2020-03-07T20:13:14,42.6953,-121.6142,1,0,0,,
,,"Madera County, CA",US,2020-03-07T20:13:14,37.2519,-119.6963,1,0,0,,
,,"Madison, WI",US,2020-03-03T15:53:03,43.0731,-89.4012,1,0,1,,
,,"Marion County, IN",US,2020-03-06T17:13:12,39.8362,-86.1752,1,0,0,,
,,"Marion County, OR",US,2020-03-08T19:43:03,44.8446,-122.5927,1,0,0,,
,,"Okaloosa County, FL",US,2020-03-08T03:03:08,30.5773,-86.6611,1,0,0,,
,,"Plymouth County, MA",US,2020-03-07T03:53:03,42.1615,-70.7928,1,0,0,,
,,"Polk County, GA",US,2020-03-08T04:13:22,34.0132,-85.1479,1,0,0,,
,,"Ramsey County, MN",US,2020-03-06T23:23:03,44.9964,-93.0616,1,0,0,,
,,"Riverside County, CA",US,2020-03-08T10:33:03,33.9533,-117.3961,1,0,0,,
,,"Rockingham County, NH",US,2020-03-09T22:43:25,42.9931,-71.0498,1,0,0,,
,,"San Antonio, TX",US,2020-02-13T18:53:02,29.4241,-98.4936,1,0,0,,
,,"Santa Rosa County, FL",US,2020-03-08T15:33:04,30.769,-86.9824,1,1,0,,
,,"Sarasota, FL",US,2020-03-02T03:23:06,27.3364,-82.5307,1,0,0,,
,,"Shasta County, CA",US,2020-03-09T03:43:03,40.7909,-121.8474,1,0,0,,
,,"Shelby County, TN",US,2020-03-08T16:13:36,35.1269,-89.9253,1,0,0,,
,,"Spartanburg County, SC",US,2020-03-09T00:03:07,34.8606,-81.9535,1,0,0,,
